task,split,quantile,truth_label,decision,prediction_label,count,task_denominator,source_artifact_path,source_artifact_sha256
detection,calibration,,no_change,answered,no_change,228,720,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
detection,calibration,,no_change,answered,change,12,720,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
detection,calibration,,change,answered,no_change,12,720,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
detection,calibration,,change,answered,change,468,720,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
forced_scope,calibration,,local,answered,local,240,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
forced_scope,calibration,,local,answered,regional,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
forced_scope,calibration,,regional,answered,local,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
forced_scope,calibration,,regional,answered,regional,240,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
target_only_scope,calibration,,local,answered,local,240,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
target_only_scope,calibration,,local,answered,regional,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
target_only_scope,calibration,,regional,answered,local,240,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
target_only_scope,calibration,,regional,answered,regional,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.00,local,answered,local,240,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.00,local,answered,regional,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.00,local,abstained,not_answered,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.00,regional,answered,local,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.00,regional,answered,regional,240,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.00,regional,abstained,not_answered,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.25,local,answered,local,120,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.25,local,answered,regional,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.25,local,abstained,not_answered,120,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.25,regional,answered,local,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.25,regional,answered,regional,240,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.25,regional,abstained,not_answered,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.50,local,answered,local,4,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.50,local,answered,regional,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.50,local,abstained,not_answered,236,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.50,regional,answered,local,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.50,regional,answered,regional,236,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.50,regional,abstained,not_answered,4,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
